Corporation Name,Email,Address,Business Turnover (M$),Duration of Business (Years),Past Loan Repayment Rate (%),Loan Default Count,Credit Rating,Previous Loan Interest Rate (%),Loan Tenure Requested (Years),Past Loan ROI (%),Loan Amount Requested (M$),Associated Project ROI (%),Loan Approval Label
"Kline, Barnett and Bryant",jenniferdavidson@yahoo.com,"16184 George Fork Apt. 013, Lake George, NY 57246",41.41,17,85.8,0,811,5.3,7,17.73,9.61,20.0,Approved
Sandoval Group,fclark@watts.com,"713 Daniel Fall Suite 575, South Robertton, NM 81019",22.9,12,77.68,0,800,4.96,2,6.6,1.55,15.48,Not Approved
Arnold Ltd,riversdebra@yahoo.com,"969 Alicia Cliffs Suite 995, Lake Briannaland, MA 39940",42.7,15,89.01,3,650,14.17,12,15.35,9.55,20.0,Not Approved
"Rangel, Morton and Johnson",kylesimon@butler-juarez.com,"090 Roberts Rapid Suite 240, South Kaylee, DE 58775",37.95,5,87.74,1,840,13.86,5,16.28,6.82,20.0,Approved
Bradford and Sons,mmeza@campbell.com,"Unit 2341 Box 4568, DPO AE 30109",20.51,7,86.13,0,810,11.3,7,20.04,3.47,20.0,Approved
Cruz PLC,bbell@gmail.com,"6389 Strong Lodge Suite 140, Morganborough, NV 62440",29.48,13,83.3,1,835,12.39,1,24.09,1.35,20.0,Approved
Erickson-Davis,ole@yahoo.com,"61405 Daniel Union Suite 375, South Vernonchester, CO 86653",49.78,18,83.98,1,800,12.22,4,18.34,3.83,20.0,Approved
"Martin, Myers and Drake",duanelevine@gmail.com,"191 Collins Fort, Brucestad, IA 08987",40.38,17,80.83,0,803,7.62,10,16.8,8.73,20.0,Approved
"Jones, Jackson and Allen",lesterderek@gmail.com,"3188 Freeman Road Apt. 794, West Kevin, AR 33179",40.98,13,88.63,3,650,6.22,9,17.35,1.77,20.0,Not Approved
Adams-Lamb,peter60@gmail.com,"398 Young Turnpike Apt. 664, Christopherbury, CT 84396",38.13,6,82.22,0,833,12.67,8,19.57,2.23,20.0,Approved
Thompson Ltd,gomezlisa@gmail.com,"60958 Kristopher Roads Suite 431, Davidchester, PA 05068",21.55,18,86.76,0,832,5.43,9,13.2,1.74,20.0,Not Approved
Doyle Ltd,williambuchanan@hotmail.com,"348 Mario Causeway Suite 909, North Brittany, KS 36199",30.67,7,98.44,0,834,13.91,4,22.69,3.79,20.0,Approved
Hamilton LLC,christine18@stewart-gonzalez.biz,"739 Joseph Freeway Suite 628, Terrellbury, UT 49052",41.65,16,89.74,1,829,7.28,4,19.36,6.99,20.0,Approved
"Webster, Nelson and Pena",cooperjohn@hotmail.com,"Unit 2559 Box 0287, DPO AE 47530",24.78,10,80.84,1,681,3.92,2,24.46,7.24,7.87,Not Approved
Daniels-Krueger,andrew20@yahoo.com,"9824 John Burg Apt. 827, Montgomerystad, RI 96017",14.73,18,78.6,3,650,5.02,6,9.4,6.12,15.03,Not Approved
Davis Group,paullee@robertson.com,"1109 Warren Forges Apt. 753, Lake Brittany, AL 88966",16.25,2,98.27,0,761,5.97,7,18.07,5.48,20.0,Not Approved
Melendez PLC,perezmolly@moore-gomez.net,"1769 Strickland Ways, New Juanton, ID 82238",40.92,6,85.12,0,817,8.58,10,20.89,6.15,20.0,Approved
Rodriguez-Ross,dayala@gmail.com,"3313 Dominguez Bridge, South Margaret, NM 57510",11.37,19,69.08,0,757,8.55,7,24.23,9.73,20.0,Not Approved
Daniels-Krueger,andrew20@yahoo.com,"9824 John Burg Apt. 827, Montgomerystad, RI 96017",14.73,18,78.6,3,650,5.02,6,9.4,6.12,15.03,Not Approved
Johnson Group,sheryl33@coleman.com,"914 Price Inlet, Gregorybury, SD 20318",28.89,14,95.06,1,818,6.83,7,20.07,3.61,20.0,Approved
Nelson and Sons,stephanie57@reed.com,"PSC 8686, Box 0478, APO AE 68533",28.95,17,97.29,1,832,7.19,8,22.69,4.96,20.0,Approved
Lopez PLC,falvarado@gmail.com,"678 Rodriguez Corner, Michaelbury, MA 52409",36.91,11,93.78,1,825,4.35,2,15.31,9.79,20.0,Approved
"Combs, Thomas and Rodriguez",john52@jones.net,"3283 Taylor Branch Apt. 545, North John, MT 06050",48.22,10,85.27,1,839,13.61,7,22.98,9.3,20.0,Approved
"Parker, Carey and Reese",whitepeggy@hotmail.com,"1684 Stephen Forges, Brendachester, WA 85633",22.09,10,98.26,1,849,9.96,5,19.73,2.89,20.0,Approved
Taylor Group,davidmeyers@yahoo.com,"769 Vicki Mount Apt. 131, Port Chad, CT 12493",49.4,12,88.24,1,817,14.95,1,21.47,4.69,20.0,Approved
Robles Ltd,bhernandez@hotmail.com,"79767 Tyrone Coves, Waltersstad, ID 87157",43.18,15,85.61,0,826,11.7,2,17.03,6.34,20.0,Approved
"Roman, Hendrix and Stewart",luis55@gmail.com,"01541 Willie Lock, Lake Alexandershire, MA 18009",34.96,13,88.75,0,818,14.63,8,24.96,8.75,20.0,Approved
Rasmussen-Townsend,ritterricardo@hardy.com,"3859 Ana Summit, North Paigefort, TN 59916",36.17,12,97.99,3,822,3.39,13,7.36,1.13,14.57,Not Approved
"Delacruz, Hernandez and Jimenez",fbutler@grant-fisher.com,"9955 Christopher Glen Suite 282, Laurahaven, IN 41965",29.98,10,95.03,3,726,4.32,7,9.48,3.36,5.61,Not Approved
"Flores, Hall and Allen",whitemichael@yahoo.com,"9039 Foster Run, Port Daniellefurt, MA 50056",11.28,12,91.31,0,742,3.53,19,20.38,1.46,20.0,Not Approved
"Hill, Gibson and Mitchell",smithrobin@collins-brown.com,"330 Tonya Trail Apt. 278, New Gavinview, WY 02027",40.55,14,83.84,0,838,13.95,3,24.16,9.2,20.0,Approved
